day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
73,4943.399999999998,-62.19999999999982,11,0,0,2,12,0,2,2,12,0,2,2,13,0,1,1,13,0,1,1
74,5010.499999999998,-67.10000000000036,13,0,0,3,11,0,2,2,11,0,2,2,12,0,2,2,12,0,2,2
75,5078.399999999998,-67.89999999999964,12,0,0,1,12,0,3,3,12,0,3,3,11,0,2,2,11,0,2,2
76,5150.999999999998,-72.60000000000036,13,0,0,2,13,0,1,1,13,0,1,1,12,0,3,3,12,0,3,3
77,5213.499999999998,-62.5,10,0,0,1,13,0,2,2,13,0,2,2,13,0,1,1,13,0,1,1
78,5280.299999999998,-66.80000000000018,14,0,0,4,11,0,1,1,11,0,1,1,13,0,2,2,13,0,2,2
79,5343.299999999998,-63.0,10,0,0,0,12,0,4,4,12,0,4,4,11,0,1,1,11,0,1,1
80,5419.699999999998,-76.39999999999964,12,0,0,4,12,0,0,0,12,0,0,0,12,0,4,4,12,0,4,4
81,5476.499999999998,-56.80000000000018,9,0,0,2,10,0,4,4,10,0,4,4,12,0,0,0,12,0,0,0
82,5552.5999999999985,-76.10000000000036,13,0,0,5,9,0,2,2,9,0,2,2,10,0,4,4,10,0,4,4
83,5620.499999999998,-67.89999999999964,12,0,0,1,10,0,5,5,10,0,5,5,9,0,2,2,9,0,2,2
84,5703.0999999999985,-82.60000000000036,13,0,0,2,13,0,1,1,13,0,1,1,10,0,5,5,10,0,5,5
85,5766.199999999999,-63.100000000000364,13,0,0,1,13,0,2,2,13,0,2,2,13,0,1,1,13,0,1,1
86,5834.299999999999,-68.10000000000036,13,0,0,1,14,0,1,1,14,0,1,1,13,0,2,2,13,0,2,2
87,5897.4,-63.100000000000364,13,0,0,1,14,0,1,1,14,0,1,1,14,0,1,1,14,0,1,1
88,5960.299999999999,-62.899999999999636,12,0,0,1,14,0,1,1,14,0,1,1,14,0,1,1,14,0,1,1
89,6022.699999999999,-62.399999999999636,12,0,0,2,13,0,1,1,13,0,1,1,14,0,1,1,14,0,1,1
90,6085.299999999999,-62.600000000000364,13,0,0,2,12,0,2,2,12,0,2,2,13,0,1,1,13,0,1,1
91,6153.199999999999,-67.89999999999964,12,0,0,1,13,0,2,2,13,0,2,2,12,0,2,2,12,0,2,2
92,6220.799999999999,-67.60000000000036,13,0,0,2,13,0,1,1,13,0,1,1,13,0,2,2,13,0,2,2
93,6283.499999999999,-62.69999999999982,11,0,0,1,13,0,2,2,13,0,2,2,13,0,1,1,13,0,1,1
94,6350.199999999999,-66.69999999999982,11,0,0,3,12,0,1,1,12,0,1,1,13,0,2,2,13,0,2,2
95,6412.499999999999,-62.30000000000018,14,0,0,3,10,0,3,3,10,0,3,3,12,0,1,1,12,0,1,1
96,6485.499999999999,-73.0,10,0,0,0,13,0,3,3,13,0,3,3,10,0,3,3,10,0,3,3
97,6556.699999999999,-71.19999999999982,11,0,0,4,12,0,0,0,12,0,0,0,13,0,3,3,13,0,3,3
98,6612.999999999999,-56.30000000000018,9,0,0,3,9,0,4,4,9,0,4,4,12,0,0,0,12,0,0,0
99,6689.299999999999,-76.30000000000018,14,0,0,5,8,0,3,3,8,0,3,3,9,0,4,4,9,0,4,4
100,6762.9,-73.60000000000036,13,0,0,0,11,0,5,5,11,0,5,5,8,0,3,3,8,0,3,3
101,6845.4,-82.5,10,0,0,1,15,0,0,0,15,0,0,0,11,0,5,5,11,0,5,5
102,6902.0,-56.600000000000364,13,0,0,4,11,0,1,1,11,0,1,1,15,0,0,0,15,0,0,0
103,6965.1,-63.100000000000364,13,0,0,1,11,0,4,4,11,0,4,4,11,0,1,1,11,0,1,1
104,7043.0,-77.89999999999964,12,0,0,1,14,0,1,1,14,0,1,1,11,0,4,4,11,0,4,4
105,7105.6,-62.600000000000364,13,0,0,2,13,0,1,1,13,0,1,1,14,0,1,1,14,0,1,1
106,7168.700000000001,-63.100000000000364,13,0,0,1,13,0,2,2,13,0,2,2,13,0,1,1,13,0,1,1
107,7236.6,-67.89999999999964,12,0,0,1,14,0,1,1,14,0,1,1,13,0,2,2,13,0,2,2
108,7299.0,-62.399999999999636,12,0,0,2,13,0,1,1,13,0,1,1,14,0,1,1,14,0,1,1
109,7361.6,-62.600000000000364,13,0,0,2,12,0,2,2,12,0,2,2,13,0,1,1,13,0,1,1
110,7429.5,-67.89999999999964,12,0,0,1,13,0,2,2,13,0,2,2,12,0,2,2,12,0,2,2
111,7497.3,-67.80000000000018,14,0,0,2,13,0,1,1,13,0,1,1,13,0,2,2,13,0,2,2
112,7560.1,-62.80000000000018,9,0,0,0,14,0,2,2,14,0,2,2,13,0,1,1,13,0,1,1
113,7626.400000000001,-66.30000000000018,14,0,0,5,11,0,0,0,11,0,0,0,14,0,2,2,14,0,2,2
114,7685.200000000001,-58.80000000000018,14,0,0,0,11,0,5,5,11,0,5,5,11,0,0,0,11,0,0,0
115,7768.400000000001,-83.19999999999982,11,0,0,0,16,0,0,0,16,0,0,0,11,0,5,5,11,0,5,5
